step,parameter,loss,lr,weight_norm,update_norm,update_to_weight_ratio
5,net.0.weight,0.41171205043792725,0.00016666666666666666,26.150634765625,0.06994768977165222,0.0026747989254776497
5,net.0.bias,0.41171205043792725,0.00016666666666666666,1.6075390577316284,0.005908327177166939,0.003675386391857925
5,net.2.weight,0.41171205043792725,0.00016666666666666666,26.128305435180664,0.2701477110385895,0.01033927407610778
5,net.2.bias,0.41171205043792725,0.00016666666666666666,0.5767279863357544,0.0062772794626653194,0.010884298337155549
5,net.4.weight,0.41171205043792725,0.00016666666666666666,26.139429092407227,0.25135764479637146,0.009616034225834864
5,net.4.bias,0.41171205043792725,0.00016666666666666666,0.5685012936592102,0.006514006294310093,0.011458208392776207
5,net.6.weight,0.41171205043792725,0.00016666666666666666,26.148080825805664,0.2510077953338623,0.009599472978764144
5,net.6.bias,0.41171205043792725,0.00016666666666666666,0.5791276097297668,0.006551235448569059,0.011312248524338191
5,net.8.weight,0.41171205043792725,0.00016666666666666666,26.129013061523438,0.2727765142917633,0.010439602661205881
5,net.8.bias,0.41171205043792725,0.00016666666666666666,0.5708978772163391,0.007008782122284174,0.012276770333178571
